A,B,C,D,E
RFSD01085,4038102622,19762518,1,Running
RFSD01086,4038102655,19762519,1,Running
RFSD01088,4038102998,19762521,1,Running
RFSD01089,4038103007,19762522,1,Running
RFSD01090,4038102997,19762523,1,Running
RFSD01091,4038102736,19762524,1,Running
RFSD01092,4038102682,19762525,1,Running
RFSD01093,4038101731,19762526,1,Running
RFSD01094,4038102935,19762527,1,Running
RFSD01095,4038101729,19762528,1,Running
RFSD01096,4038103107,19762529,1,Running
RFSD01098,4038102322,19762531,1,Running
RFSD01100,4038103103,19762533,1,Running
RFSD01101,4038107318,19762534,1,Running
RFSD01102,4038102348,19762535,1,Running
RFSD01103,4038107295,19762536,1,Running
RFSD01104,4038102249,19762537,1,Running
RFSD01105,4038107308,19762538,1,Running
RFSD01106,4038107317,19762539,1,Running
RFSD01107,4038107299,19762540,1,Running
RFSD01108,4038107324,19762541,1,Running
RFSD01109,4038102349,19762542,1,Running
RFSD01110,4038102603,19762543,1,Running
RFSD01111,4038107302,19762544,1,Running
RFSD01112,4038107300,19762545,1,Running
RFSD01113,4038102609,19762546,1,Running
RFSD01115,4038107314,19762548,1,Running
RFSD01116,4038102972,19762549,1,Running
RFSD01117,4038102606,19762550,1,Running
RFSD01118,4038101701,19762551,1,Running
RFSD01119,4038107325,19762552,1,Running
RFSD01121,4038107141,19762554,1,Running
RFSD01122,4038107294,19762555,1,Running
RFSD01123,4038102481,19762556,1,Running
RFSD01124,4038107316,19762557,1,Running
RFSD01126,4038107311,19762559,1,Running
RFSD01127,4038107148,19762560,1,Running
RFSD01128,4038103121,19762561,1,Running
RFSD01131,4038103065,19762564,1,Running
RFSD01132,4038103108,19762565,1,Running
RFSD01133,4038102889,19762566,1,Running
RFSD01134,4038103176,19762567,1,Running
RFSD01135,4038102601,19762568,1,Running
RFSD01136,4038101683,19762569,1,Running
RFSD01137,4038103173,19762570,1,Running
RFSD01138,4038107327,19762571,1,Running
RFSD01139,4038103181,19762572,1,Running
RFSD01140,4038107326,19762573,1,Running
RFSD01141,4038102876,19762574,1,Running
RFSD01143,4038103165,19762576,1,Running
RFSD01144,4038103162,19762577,1,Running
RFSD01145,4038103114,19762578,1,Running
RFSD01146,4038102796,19762579,1,Running
RFSD01147,4038102885,19762580,1,Running
RFSD01148,4038102960,19762581,1,Running
RFSD01149,4038102788,19762582,1,Running
RFSD01150,4038102801,19762583,1,Running
