"Meter","Serial Number","Status","Address","City","Cycle","Collector","Service Latitude","Service Longitude","Module FW","Meter FW","Layer","LAst Billable","Hardware Model ID","DCW","Last Path"
"168065344","4029580084","Normal","397 ROSIER RD","DEVILLE","15","ESLER FIELD",31.426993,-92.22777,"251284-09.18","05.37",8,26-MAR-19,65563,"2001.09.15","2155038306,2155073786,2155073892,2155073829,2155073926,1343053115,2155073826,4029580171,4031404431,4029580352,4029580084"
"168060103","4029587162","Normal","80 DAUZART","PINEVILLE","08","BEAVER CREEK MW GAP",31.399377,-92.345528,"251284-09.18","05.37",2,08-APR-19,65563,"2001.09.15","2155070646,2155074025,4029587162"
"168027426","4029519775","Normal","64 HODGES RD","LENA","06","ROPS Common - RC55",31.406997,-92.775685,"251284-09.18","05.37",6,07-MAR-19,65563,"2001.09.15","2155070483,2155074231,2155074232,4029517307,4029511388,4029519775"
"168030693","1343054839","Normal","7666 HICKORY GROVE LOOP 2","PINEVILLE","15","ESLER FIELD",31.4374,-92.23101,"251581-06.17","05.34",3,29-FEB-16,65562,"1F0D.08.06","2155077935,2155073958,2155077689,2155073779,4029525115,4043135040,4029524581,1343054839"
"168020406","4029517079","Normal","7401 ESLER FIELD RD LOT 33","PINEVILLE","09","ESLER FIELD",31.388143,-92.315858,"251284-09.18","05.37",2,27-MAR-19,65563,"2001.09.15","2155077938,2155073900,4029517079"
"168019004","4029518751","Normal","263 LENA FLATWOODS RD 1","LENA","06","ROPS Common - RC55",31.445827,-92.778672,"251284-09.18","05.37",9,31-MAR-19,65563,"2001.09.15","2155070483,4042121153,4029803241,2155074177,2155073896,4029515605,4029513433,4029513513,4029518751"
"168016313","4029518164","Normal","138 TOM EDWARDS RD","FLATWOODS","06","FLATWOODS GAP",31.395835,-92.878805,"251284-09.18","05.37",3,13-MAR-19,65563,"2001.09.15","2155070498,2155073916,4029518164"
"168024931","4029523196","Normal","307 1/2 BARRON ST","PINEVILLE","02","PGOMW",31.314027,-92.422283,"251284-09.18","05.37",4,15-MAR-19,65563,"2001.09.15","2155038296,4029575037,4029523424,4029581859,4029523196"
"168028167","4029523992","Normal","53 STOCK LANDING RD 1","DEVILLE","15","DEVILLE",31.427738,-92.178412,"251284-09.18","05.37",9,10-APR-19,65563,"2001.09.15","2155038306,2155073614,2155073840,2155074208,4029511936,4029521896,2155073880,4042570182,4029506201,4042122373,4029523992"
"168029560","4029521740","Normal","271 KEVIN LN","BOYCE","13","ROPS Common - RC55",31.276768,-92.73195,"251284-09.18","5.35",7,03-SEP-18,65563,"2001.08.06","2155070483,2155073839,2155074003,2155073890,4030467006,1343831066,4029515716,4029521740"
"168087422","4029584309","Normal","HAMBURG HWY","SIMMESPORT","2","YELLOW BAYOU GAP",31.02647,-91.931008,"251284-09.18","05.37",3,08-APR-19,65563,"2001.09.15","2155070517,2155075224,4029504980,4029584309"
"168028568","4029521886","Normal","109 SEAGULL LN","MANY","2","Raw Land 62 Gap",31.3873,-93.61813,"251284-09.18","05.37",6,08-APR-19,65563,"2001.09.15","2155070492,2155077833,4032158183,4029955879,4029948030,2155077257,2155076360,2155077500,2155077742,2155080033,2155080017,4029521886"
"168063377","4029583923","Normal","324 LAKERIDGE TRL","PINEVILLE","03","ESLER FIELD",31.347345,-92.332732,"251284-09.18","05.37",3,15-MAR-19,65563,"2001.09.15","2155077941,2155073955,4028903922,4029583923"
